,Date,Low,High,Close,Open
3387,2007-08-23,29.4,30.82,29.62,30.75
3386,2018-01-03,52.055,52.86,52.34,52.86
3385,2011-06-28,8.91,9.21,9.13,9.15
3384,2015-12-01,41.3,43.3,43.26,41.47
3383,2013-07-25,18.3,18.85,18.83,18.49
3382,2009-11-16,3.26,3.44,3.38,3.27
3381,2017-06-07,48.8,50.91,50.86,49.44
3380,2013-02-19,14.08,14.56,14.26,14.33
3379,2017-10-13,52.2588,52.8611,52.7,52.67
3378,2017-04-06,41.16,41.96,41.72,41.4
3377,2016-02-25,40.41,41.38,41.36,40.76
3376,2012-02-21,7.77,8.89,7.89,8.87
3375,2007-01-31,51.75,56.25,55.98,53.1
3374,2016-02-16,37.53,38.77,38.61,38.13
3373,2017-08-28,44.78,45.3718,44.95,45.23
3372,2011-04-25,8.06,8.35,8.28,8.07
3371,2006-03-20,35.43,37.43,36.95,35.45
3370,2011-07-20,6.86,7.14,6.9,7.12
3369,2015-01-02,53.07,54.6,53.91,54.28
3368,2014-10-01,33.85,34.94,34.39,34.72
3367,2007-09-10,29.16,30.63,29.51,30.33
3366,2015-06-08,39.27,41.24,39.86,41.07
3365,2014-02-27,36.34,36.9485,36.56,36.88
3364,2012-04-16,7.85,8.17,8.13,7.86
3363,2014-10-21,36.02,37.88,37.85,36.14
3362,2017-03-06,44.38,46.68,45.31,46.41
3361,2007-11-21,18.0,20.19,19.94,18.73
3360,2010-07-27,10.41,11.15,10.54,11.1
3359,2006-06-07,46.04,47.63,46.89,46.5
3358,2009-12-24,5.17,5.4,5.38,5.2
3357,2017-01-23,46.75,48.09,46.94,47.9
3356,2007-08-10,28.13,29.35,28.98,29.0
3355,2012-12-11,12.75,13.26,12.88,12.86
3354,2018-06-13,42.83,43.69,42.92,43.39
3353,2012-01-26,7.65,8.27,7.85,7.78
3352,2008-03-12,8.87,9.74,9.02,9.67
3351,2005-12-05,31.38,32.64,32.35,32.08
3350,2011-05-24,9.73,10.1,9.74,10.1
3349,2011-03-07,8.01,8.37,8.3,8.19
3348,2017-05-11,45.65,47.24,46.54,47.21
3347,2010-10-06,9.15,9.4,9.23,9.27
3346,2013-04-29,16.56,16.97,16.81,16.7
3345,2018-02-15,50.94,51.88,51.67,51.45
3344,2017-05-04,43.195,44.39,43.91,44.18
3343,2007-03-02,50.62,53.09,50.65,51.9
3342,2015-09-14,41.84,42.5,42.29,42.17
3341,2016-11-09,40.44,42.75,42.41,40.76
3340,2007-05-14,32.57,34.15,33.53,32.81
3339,2012-05-15,10.9,11.3,11.13,11.23
3338,2016-11-30,45.42,46.86,46.44,46.14
3337,2018-01-18,57.56,58.71,58.34,58.0
3336,2010-03-19,7.07,7.54,7.1,7.1
3335,2018-01-09,52.005,53.37,52.08,52.97
3334,2018-02-21,51.825,53.86,52.78,51.96
3333,2007-06-28,30.88,32.29,31.0,31.2
3332,2016-09-22,34.85,36.03,35.25,34.96
3331,2006-11-14,49.35,51.41,50.93,51.2
3330,2014-04-01,36.85,38.19,37.94,36.95
3329,2016-10-17,38.37,39.73,38.58,38.66
3328,2016-05-05,32.73,33.52,32.805,33.28
3327,2009-12-11,4.4,4.88,4.83,4.4
3326,2011-07-05,8.42,8.97,8.45,8.88
3325,2015-07-13,41.96,42.72,42.42,41.96
3324,2009-02-11,4.4,5.2,4.58,5.14
3323,2011-12-16,5.74,6.21,6.18,5.77
3322,2007-02-16,56.14,57.88,56.7,57.72
3321,2016-02-12,36.42,37.98,37.82,36.92
3320,2017-11-27,48.3,48.8336,48.42,48.61
3319,2014-01-13,28.58,29.53,28.65,29.18
3318,2015-07-17,41.241,41.84,41.4,41.45
3317,2016-10-21,39.65,40.245,39.9,39.97
3316,2017-12-12,50.38,51.53,50.47,51.27
3315,2009-04-16,3.63,3.92,3.81,3.85
3314,2017-06-08,50.41,51.87,51.43,50.86
3313,2016-01-15,38.37,39.89,38.76,39.04
3312,2013-02-11,14.26,15.01,14.46,14.89
3311,2007-11-05,24.9,26.27,25.15,25.88
3310,2006-01-19,29.34,31.24,30.39,30.8
3309,2007-09-28,25.75,26.53,26.25,26.48
3308,2009-11-27,3.27,3.58,3.47,3.36
3307,2014-01-06,26.6,27.2,27.03,26.62
3306,2014-05-08,37.05,38.25,38.25,37.25
3305,2015-10-19,43.62,44.49,44.45,43.83
3304,2015-10-05,38.82,40.3,40.19,38.9
3303,2010-06-14,9.65,10.27,9.66,10.15
3302,2006-07-26,49.74,51.4,51.13,50.94
3301,2010-09-07,9.52,9.9,9.54,9.88
3300,2016-05-16,30.99,32.3,32.12,31.81
3299,2014-12-26,51.06,52.25,51.955,51.46
3298,2006-12-11,60.03,62.7,61.56,60.72
3297,2011-02-24,8.23,8.67,8.43,8.52
3296,2014-04-25,35.91,37.11,36.0,37.0
3295,2011-10-04,4.59,5.01,5.0,4.61
3294,2014-07-09,40.505,42.35,41.985,42.08
