Date,Open,High,Low,Close,Volume,MACD,RSI SMA,RSI EWMA,Daily Change,5 Day Change
2005-03-21,6.184286,6.281428,6.122857,6.242857,135282000,0,,,,
2005-03-22,6.244286,6.28,6.097143,6.118571,137853800,-0.002788468,,0,-0.019908513,
2005-03-23,6.064286,6.2,6.002857,6.078571,152455800,-0.004793459,,0,-0.006537474,
2005-03-24,6.13,6.142857,6.071429,6.071429,88176200,-0.005845752,,0,-0.001174947,
2005-03-28,6.107143,6.137143,6.067143,6.075714,68852700,-0.006123975,,-4.44466059,0.000705765,
2005-03-29,6.08,6.118571,5.928571,5.964286,115339000,-0.01094084,,-1.842237495,-0.018339902,-0.044622358
2005-03-30,6.01,6.114286,5.974286,6.114286,98739900,-0.007046238,,-2679.165471,0.025149699,-0.000700327
2005-03-31,6.064286,6.074286,5.941429,5.952857,159033700,-0.011999026,,-75.301722,-0.026401938,-0.020681506
2005-04-01,6.012857,6.025714,5.795714,5.841429,160321000,-0.020774517,,-41.37595378,-0.018718407,-0.03788235
2005-04-04,5.855714,5.901429,5.737143,5.87,145003600,-0.025225696,,-64.61856239,0.004891098,-0.033858407
2005-04-05,5.888571,6.034286,5.87,5.984286,139059900,-0.021999766,-114.9169861,-738.8689763,0.019469506,0.003353293
2005-04-06,6.057143,6.115714,6.021429,6.047143,103706400,-0.015882579,-504.002632,578.4520407,0.010503676,-0.010981331
2005-04-07,6.047143,6.25,6.035714,6.222857,126746900,-0.001209456,371.2855024,175.1647412,0.029057358,0.045356373
2005-04-08,6.242857,6.35,6.22,6.248571,162487500,0.011279566,316.9361303,165.3174101,0.004132186,0.069699041
2005-04-11,6.307143,6.321429,5.987143,5.988572,205415700,0.005125487,-639.3495674,-267.0560815,-0.041609354,0.020199659
2005-04-12,6.07,6.17,6.001429,6.094285,245265300,0.006802847,509.8923838,1324.693116,0.017652455,0.018381307
2005-04-13,6.135714,6.141428,5.77,5.862857,342986700,-0.006324173,-203.9760728,-124.9326663,-0.037974594,-0.030474887
2005-04-14,5.544286,5.651429,5.262857,5.322857,688298100,-0.050346637,-81.40555556,-30.31743193,-0.092105265,-0.144628102
2005-04-15,5.231429,5.321429,5.04,5.05,432021800,-0.101069393,-64.80113819,-20.65628338,-0.051261381,-0.191815217
2005-04-18,5,5.185714,4.857143,5.088572,331794400,-0.136429897,-66.91032315,-27.68649757,0.00763802,-0.150286245
2005-04-19,5.228571,5.348571,5.124286,5.298572,270410700,-0.148221765,-90.20816259,-108.5419635,0.041268945,-0.13056708
2005-04-20,5.38,5.391428,5.062857,5.072857,236282900,-0.170725161,-57.03797448,-59.25198578,-0.042599214,-0.134746592
2005-04-21,5.2,5.315714,5.128572,5.311429,189898100,-0.169945538,-67.86833409,-285.2603209,0.04702912,-0.002146967
2005-04-22,5.262857,5.285714,4.985714,5.071429,209782300,-0.183833376,-50.36410221,-103.9220834,-0.04518558,0.004243366
2005-04-25,5.212857,5.288571,5.158571,5.282857,186615100,-0.177776067,-113.9673948,-546.2682883,0.041690025,0.038180653
2005-04-26,5.254286,5.358572,5.16,5.17,202626900,-0.17890179,-75.57971838,-226.1804158,-0.021362872,-0.024265406
2005-04-27,5.127143,5.194286,5.072857,5.135714,153472200,-0.180118649,-96.07078663,-185.763581,-0.006631721,0.012390848
2005-04-28,5.184286,5.191429,5.034286,5.077143,143776500,-0.183156211,-284.3028887,-135.2878946,-0.011404646,-0.044109787
2005-04-29,5.164286,5.175714,5.031428,5.151429,167907600,-0.17804121,761.9694565,-306.5151566,0.014631457,0.015774647
2005-05-02,5.172857,5.235714,5.145714,5.204286,116480000,-0.168142706,680.2487167,-1007.29842,0.010260648,-0.014872824
2005-05-03,5.2,5.248571,5.147143,5.172857,124184900,-0.160762195,-459.0884143,-447.1297737,-0.006039061,0.000552611
2005-05-04,5.158571,5.314286,5.157143,5.307143,112044100,-0.143250919,303.6583492,387.3435606,0.025959736,0.033379779
2005-05-05,5.321429,5.324286,5.21,5.24,96841500,-0.132881002,-661.995828,5700.975568,-0.01265144,0.032076504
2005-05-06,5.27,5.332857,5.255714,5.32,81561900,-0.117283167,222.4141191,367.0030481,0.015267176,0.032723153
2005-05-09,5.325714,5.35,5.25,5.281428,88923800,-0.106620085,-23892.86214,836.3832544,-0.007250376,0.014822783
2005-05-10,5.25,5.321429,5.19,5.202857,110065900,-0.102960142,1039.136257,-382.9306485,-0.014876848,0.005799503
2005-05-11,5.028572,5.095714,4.73,5.087143,510495300,-0.107652309,-702.9482613,-105.6616372,-0.022240473,-0.041453566
2005-05-12,5.06,5.084286,4.857143,4.875714,242560500,-0.126121085,-169.5033982,-40.37509951,-0.041561442,-0.069520229
2005-05-13,4.885714,5.032857,4.867143,4.967143,175678300,-0.132166248,-194.5736518,-108.447853,0.01875192,-0.066326504
2005-05-16,4.937143,5.1,4.932857,5.078571,118573700,-0.126868651,-331.8164101,-650.7401018,0.022433016,-0.038409498
2005-05-17,5.02,5.065714,4.934286,5.051429,147086100,-0.123346371,-343.531146,-366.7129334,-0.005344417,-0.029104778
2005-05-18,5.064286,5.365714,4.998571,5.12,159180700,-0.113903768,-187.7858109,1442.191658,0.013574575,0.006458832
2005-05-19,5.111429,5.382857,5.111429,5.364286,198290400,-0.086375999,479.3090131,175.0826973,0.047712109,0.100205221
2005-05-20,5.321429,5.378572,5.312857,5.364286,113162700,-0.063832551,1164.507971,175.0826973,0,0.07995401
2005-05-23,5.407143,5.7,5.407143,5.68,260643600,-0.020993947,208.6017081,126.6003993,0.058854804,0.118424848
2005-05-24,5.635714,5.712857,5.575714,5.671429,148365000,0.01212726,177.4386861,129.372266,-0.001508979,0.122737546
2005-05-25,5.642857,5.707143,5.617143,5.682857,99001700,0.038815466,141.4866866,128.3603651,0.002015012,0.109933008
2005-05-26,5.705714,5.848571,5.705714,5.82,131380200,0.069960608,103.782011,118.8402704,0.024132756,0.084953338
2005-05-27,5.805714,5.827143,5.715714,5.794286,79002000,0.091545639,107.4264063,128.744095,-0.004418213,0.080159783
2005-05-31,5.808571,5.82,5.654286,5.68,101051300,0.098468239,129.2159174,235.2360299,-0.019723914,0
2005-06-01,5.698571,5.822857,5.694286,5.757143,113453200,0.108805973,121.0525794,180.3825003,0.013581514,0.015113299
2005-06-02,5.721428,5.76,5.657143,5.72,93493400,0.112747068,130.9523333,236.9384566,-0.006451638,0.006535973
2005-06-03,5.451428,5.511428,5.395714,5.462857,239217300,0.094355392,549.2771708,-143.3413092,-0.04495507,-0.061364777
2005-06-06,5.475714,5.518571,5.365714,5.417143,202991600,0.075277778,1024.326012,-106.2785355,-0.008368149,-0.065088779
2005-06-07,5.371428,5.39,5.207143,5.22,186316200,0.043959695,-49.06826087,-44.97891187,-0.03639243,-0.080985915
2005-06-08,5.232857,5.321429,5.224286,5.274286,101001600,0.023201842,-70.50357176,-79.90122723,0.010399617,-0.083870941
2005-06-09,5.285714,5.42,5.26,5.378572,97563900,0.014899431,-122.5357806,-314.1088789,0.019772534,-0.05969021
2005-06-10,5.342857,5.342857,5.074286,5.115714,169733200,-0.012518701,-33.46864768,-62.68853232,-0.048871336,-0.063546053
2005-06-13,5.127143,5.23,5.117143,5.128572,108943100,-0.032838618,-37.33930787,-70.86519759,0.002513432,-0.053269962
2005-06-14,5.131429,5.164286,5.107143,5.142857,86961700,-0.047252812,-48.93631677,-83.38013138,0.002785376,-0.014778352
2005-06-15,5.267143,5.328571,5.185714,5.304286,140835800,-0.045237284,-76.65642797,15852.92669,0.031388973,0.005687974
2005-06-16,5.312857,5.44,5.26,5.425714,136918600,-0.033531817,-159.2233406,294.731563,0.022892431,0.00876478
2005-06-17,5.495714,5.505714,5.404286,5.472857,149031400,-0.02024593,5157.15,232.5924249,0.00868881,0.069812933
2005-06-20,5.407143,5.441429,5.35,5.372857,80929100,-0.017530158,-1164.510229,1346.78271,-0.018271992,0.047632167
2005-06-21,5.388571,5.455714,5.34,5.408571,92631700,-0.012371442,292.4251343,503.3599946,0.006647115,0.051666613
2005-06-22,5.465714,5.514286,5.448571,5.507143,106231300,-0.000371103,255.8286846,222.8998556,0.018225147,0.038243979
2005-06-23,5.547143,5.682857,5.521429,5.555714,168563500,0.012888275,304.8401847,186.6256164,0.008819637,0.02395998
2005-06-24,5.584286,5.588572,5.382857,5.394286,102677400,0.010315391,193.8457562,-938.0806529,-0.029056211,-0.014356487
2005-06-27,5.262857,5.442857,5.24,5.3,150042900,0.000695224,307.500525,-176.9243028,-0.017478866,-0.013560197
2005-06-28,5.355714,5.37,5.31,5.33,87574900,-0.00446645,290.0760381,-304.5895009,0.005660377,-0.014527127
2005-06-29,5.318572,5.327143,5.16,5.195714,112089600,-0.019129458,-351.3134141,-86.47825928,-0.025194371,-0.056550012
2005-06-30,5.23,5.308571,5.187143,5.258572,104597500,-0.025402843,-193.1638966,-215.8926836,0.012098049,-0.053484035
2005-07-01,5.261428,5.281428,5.184286,5.214286,62500200,-0.033548882,-106.6302872,-135.1356351,-0.008421678,-0.033368642
2005-07-05,5.221428,5.45,5.214286,5.425714,113567300,-0.022734971,921.6243828,298.8170664,0.040547833,0.023719623
2005-07-06,5.387143,5.451428,5.314286,5.341429,98656600,-0.020707789,-672.349647,2964.796752,-0.015534361,0.002144278
2005-07-07,5.258572,5.394286,5.257143,5.375714,95930800,-0.016155849,-294.5636047,627.0402636,0.006418694,0.034643939
2005-07-08,5.41,5.468572,5.352857,5.464286,72683800,-0.005357397,-467.1905762,247.3576731,0.016476323,0.039119746
2005-07-11,5.481429,5.521429,5.397143,5.442857,97197100,0.001458237,879.4198184,314.3149057,-0.003921647,0.043835532
2005-07-12,5.461429,5.485714,5.415714,5.462857,96759600,0.008373397,274.5617321,263.7515584,0.003674541,0.006845735
2005-07-13,5.47,5.5,5.414286,5.478571,171208800,0.014946733,291.3468981,233.5043224,0.002876517,0.025675152
2005-07-14,5.827143,6.001429,5.747143,5.821429,524015100,0.047226918,123.9725754,122.5292817,0.062581648,0.082912707
2005-07-15,5.852857,5.938571,5.78,5.935714,171920700,0.081080119,122.1519268,116.8298128,0.019631778,0.086274401
2005-07-18,5.915714,6.014286,5.91,5.927143,146574400,0.105995856,116.0319671,119.603277,-0.001443971,0.088976433
2005-07-19,5.931428,6.175714,5.867143,6.17,167765500,0.143653325,115.3549845,110.7584662,0.040973704,0.129445636
2005-07-20,6.122857,6.257143,6.092857,6.232857,113348900,0.176526608,103.3653868,109.4147112,0.01018752,0.137679333
2005-07-21,6.242857,6.291429,6.128572,6.184286,101066000,0.196399702,109.7172546,124.0476604,-0.007792735,0.062331259
2005-07-22,6.205714,6.285714,6.198571,6.285714,75276600,0.217812795,109.5651719,117.9280876,0.016400923,0.058965105
2005-07-25,6.284286,6.325714,6.247143,6.258572,73656800,0.229943705,110.3325304,128.6343906,-0.004318046,0.055917159
2005-07-26,6.287143,6.301429,6.194286,6.232857,67148200,0.234777678,114.2855844,143.7460847,-0.004108765,0.01018752
2005-07-27,6.261428,6.295714,6.095714,6.284286,70937300,0.239987866,113.6523461,133.9864495,0.008251272,0.008251272
2005-07-28,6.264286,6.285714,6.185714,6.257143,62827800,0.239171172,131.4752338,156.5099744,-0.004319186,0.011780988
2005-07-29,6.222857,6.34,6.037143,6.092857,140520100,0.222710182,291.8176438,-642.580856,-0.026255753,-0.030681797
